# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 1
# model = covid19_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = covid19_model.data.R
# init = covid19_model.init.R
# random
#   seed = -1 (Default)
# output
#   file = sampling.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma,alpha0,beta,I0
# Adaptation terminated
# Step size = 0.215957
# Diagonal elements of inverse mass matrix:
# 0.0706014, 0.00454586, 0.0470025, 0.0148182
-229.741,0.99615,0.215957,3,15,0,232.617,0.160226,0.257556,0.0030251,296.336
-230.717,0.957745,0.215957,3,7,0,231.248,0.141584,0.263235,0.00264946,299.898
-230.872,0.994009,0.215957,2,3,0,230.924,0.143153,0.263084,0.00262537,301.648
-229.987,0.9928,0.215957,3,15,0,231.692,0.150233,0.261521,0.00360868,304.937
-229.871,0.797251,0.215957,3,11,0,232.258,0.17772,0.268296,0.00359803,296.425
-229.564,0.988165,0.215957,3,11,0,230.905,0.158361,0.261869,0.00385268,336.76
-229.269,0.997744,0.215957,3,15,0,230.391,0.125547,0.274475,0.00395455,349.965
-230.068,0.960227,0.215957,4,31,0,230.456,0.190577,0.263655,0.00351216,290.129
-229.954,0.90272,0.215957,3,15,0,233.589,0.14673,0.273801,0.00341935,299.32
-229.397,0.998292,0.215957,3,15,0,230.767,0.170477,0.275771,0.00422134,315.859
-231.846,0.977668,0.215957,4,15,0,233.098,0.242974,0.255628,0.00426025,315.793
-230.925,0.946959,0.215957,3,7,0,232.414,0.227568,0.263022,0.00442923,300.173
-231.543,0.642023,0.215957,2,7,0,235.077,0.22377,0.263563,0.00388546,307.427
-231.43,0.926649,0.215957,5,31,0,233.415,0.115275,0.257157,0.00289237,342.228
-232.402,0.841518,0.215957,4,15,0,234.469,0.137271,0.258628,0.00265831,269.737
-230.147,0.99899,0.215957,4,15,0,232.425,0.166588,0.278356,0.00484035,362.638
-229.501,0.92647,0.215957,4,15,0,231.592,0.131339,0.270959,0.00353829,345.942
-230.736,0.978914,0.215957,3,7,0,231.161,0.155679,0.261305,0.00362938,363.974
-229.447,0.996708,0.215957,3,15,0,231.582,0.147052,0.264954,0.00390469,336.444
-232.931,0.957072,0.215957,3,15,0,233.891,0.102028,0.260694,0.00265837,388.813
-232.774,0.992834,0.215957,4,31,0,234.465,0.239847,0.255285,0.00366253,252.216
-233.493,0.811407,0.215957,4,15,0,236.378,0.181087,0.258824,0.0045915,344.836
-232.973,0.730634,0.215957,5,31,0,237.425,0.0955898,0.29719,0.00399998,370.302
-232.828,0.828614,0.215957,4,15,0,236.314,0.150328,0.28561,0.0050912,424.205
-229.79,1,0.215957,4,15,0,234.467,0.161142,0.263206,0.00378034,346.255
-229.79,0.671057,0.215957,2,3,0,233.436,0.161142,0.263206,0.00378034,346.255
-229.534,0.988953,0.215957,3,7,0,230.673,0.151586,0.260146,0.00351343,335.02
-230.739,0.832308,0.215957,2,7,0,234.059,0.162579,0.267326,0.00309469,300.915
-229.34,0.882604,0.215957,3,7,0,233.047,0.158843,0.261433,0.00329643,306.189
-229.453,0.993022,0.215957,4,31,0,230.292,0.138513,0.277461,0.00439564,367.303
-229.506,0.942346,0.215957,3,15,0,232.603,0.169598,0.266862,0.00396691,297.288
-230.412,0.946327,0.215957,3,7,0,231.451,0.197133,0.275328,0.00432505,292.629
-230.36,0.999431,0.215957,4,15,0,230.951,0.112517,0.271643,0.00370595,382.402
-231.165,0.992654,0.215957,4,15,0,232.189,0.222039,0.25395,0.00349434,269.501
-230.766,0.991586,0.215957,4,15,0,233.394,0.218618,0.271521,0.00472568,305.295
-231.021,0.887586,0.215957,4,31,0,233.199,0.219995,0.272151,0.00435584,294.516
-233.275,0.98593,0.215957,5,31,0,234.974,0.105892,0.264132,0.00209686,311.864
-233.946,0.999454,0.215957,4,15,0,235.033,0.10741,0.257942,0.00183229,339.38
-231.294,0.992581,0.215957,5,31,0,235.893,0.115994,0.278393,0.00324669,305.542
-230.535,0.997922,0.215957,2,3,0,231.433,0.120507,0.276783,0.00322611,317.953
-229.389,0.998849,0.215957,3,7,0,230.711,0.14331,0.264413,0.00368505,323.065
-229.403,1,0.215957,2,7,0,229.893,0.145849,0.263555,0.00355258,339.948
-229.315,0.994874,0.215957,3,15,0,230.08,0.160117,0.268285,0.00413351,342.094
-229.106,0.946881,0.215957,3,15,0,232.788,0.146174,0.270809,0.00406543,326.297
-229.612,0.987518,0.215957,4,15,0,230.262,0.184568,0.27042,0.00446582,322.005
-229.385,0.93083,0.215957,4,15,0,230.868,0.145357,0.267169,0.00329183,308.332
-229.714,0.991971,0.215957,4,15,0,230.201,0.189842,0.25905,0.00365633,306.354
-229.683,0.904263,0.215957,4,31,0,231.51,0.122486,0.285338,0.00426794,337.564
-229.26,0.998385,0.215957,4,23,0,230.17,0.151012,0.26351,0.00362961,333.624
-231.178,0.968419,0.215957,3,7,0,231.457,0.119712,0.281228,0.00362467,302.313
-230.231,0.990567,0.215957,3,11,0,233.685,0.126858,0.289068,0.00492115,392.682
-231.728,0.615645,0.215957,4,15,0,235.263,0.14048,0.288855,0.00443664,375.818
-230.711,0.956535,0.215957,4,15,0,233.28,0.104394,0.275999,0.003902,373.948
-229.792,0.956973,0.215957,4,31,0,231.347,0.178588,0.276184,0.00439968,298.217
-230.119,0.919719,0.215957,4,15,0,230.761,0.156234,0.259775,0.00317242,330.672
